word,pos_tf,bdc,pos_tf_bdc
外观设计,44.75,0.49,21.89
成为,93.32,0.23,21.85
亮点,38.09,0.56,21.41
方面,210.44,0.1,21.32
轴距,55.23,0.39,21.31
理念,52.37,0.4,20.93
家族,47.61,0.44,20.91
最,185.68,0.11,20.76
座椅,170.44,0.12,20.72
优势,74.27,0.28,20.67
更为,35.23,0.58,20.4
方便,61.89,0.33,20.38
系统,177.11,0.11,20.34
经济性,27.61,0.73,20.27
点评,36.18,0.56,20.24
简约,23.8,0.85,20.23
绝对,64.75,0.31,20.18
作为,138.07,0.15,20.14
强大,39.04,0.51,19.96
比较,208.53,0.1,19.85
灵活,25.71,0.77,19.77
好看,53.32,0.37,19.77
赞,35.23,0.55,19.45
具有,31.42,0.62,19.39
上市,120.93,0.16,19.31
好,281.85,0.07,19.14
科技,79.98,0.24,19.07
以及,112.36,0.17,19.05
有效,31.42,0.6,18.86
获得,45.71,0.41,18.56
性价比,97.12,0.19,18.5
加上,67.61,0.27,18.29
中国,174.25,0.1,18.28
宽敞,51.42,0.35,18.12
同比,78.08,0.23,18.1
式,49.51,0.37,18.09
后排,139.97,0.13,18.05
大,286.61,0.06,18.03
太,71.41,0.25,17.91
都,519.9,0.03,17.87
市场,187.58,0.09,17.63
质感,39.99,0.44,17.57
安全性,45.71,0.38,17.52
SUV,148.54,0.12,17.48
新一代,45.71,0.38,17.45
掀,23.8,0.73,17.41
达到,76.18,0.23,17.35
得到,30.47,0.57,17.31
操控性,32.37,0.53,17.12
还是,303.75,0.06,17.03
轻松,39.99,0.42,16.96
性,48.56,0.35,16.94
格栅,43.8,0.38,16.76
冠军,33.33,0.5,16.72
将,156.16,0.11,16.71
沉稳,32.37,0.51,16.59
省心,22.85,0.72,16.56
值得,43.8,0.38,16.55
车展,38.09,0.43,16.46
黑色,40.94,0.4,16.41
保障,21.9,0.74,16.28
最大,86.65,0.19,16.16
体验,82.84,0.19,16.13
细节,53.32,0.3,16.1
优点,25.71,0.62,15.83
强劲,38.09,0.41,15.74
可以,268.52,0.06,15.72
吸引,43.8,0.36,15.71
无论是,33.33,0.47,15.52
立体,20.95,0.74,15.42
保持,49.51,0.31,15.36
而,201.87,0.08,15.22
高效,20,0.76,15.16
独立,53.32,0.28,14.95
挺不错,16.19,0.91,14.77
尾灯,42.85,0.34,14.51
很好,36.18,0.4,14.39
轿,34.28,0.42,14.33
优雅,19.04,0.75,14.29
视觉效果,19.04,0.75,14.29
能,208.53,0.07,14.26
喜爱,28.57,0.49,14.09
运动感,18.09,0.78,14.06
足够,51.42,0.27,14.03
实现,44.75,0.31,13.91
家庭,46.66,0.3,13.9
高,222.81,0.06,13.85
全景,30.47,0.45,13.84
打造,51.42,0.27,13.81
够,39.04,0.35,13.79
漂亮,41.9,0.33,13.72
良好,31.42,0.44,13.71
贴心,28.57,0.48,13.61
车,544.66,0.02,13.56
气质,25.71,0.52,13.46
流畅,25.71,0.52,13.46
强度,18.09,0.74,13.42
体现,39.04,0.34,13.4
生活,31.42,0.43,13.37
这,405.64,0.03,13.36
而且,122.83,0.11,13.23
温度,19.04,0.69,13.18
青睐,17.14,0.77,13.18
精致,33.33,0.39,13.15
油耗,131.4,0.1,13.13
超高,16.19,0.8,12.99
背式,16.19,0.8,12.99
之一,51.42,0.25,12.92
先进,22.85,0.56,12.91
可,92.36,0.14,12.89
领先,42.85,0.3,12.85
推出,51.42,0.25,12.79
硬朗,24.76,0.51,12.7
取得,19.04,0.67,12.7
扭矩,46.66,0.27,12.69
侧面,33.33,0.38,12.61
确保,17.14,0.73,12.56
满意,80.94,0.16,12.56
完美,50.47,0.25,12.48
同时,99.03,0.12,12.33
进一步,25.71,0.48,12.29
展现,19.04,0.64,12.26
精准,26.66,0.46,12.16
身高,15.24,0.79,12.09
腰线,17.14,0.7,12.01
老款,50.47,0.24,12
前脸,21.9,0.54,11.91
用户,35.23,0.34,11.9
车顶,34.28,0.35,11.88
质量,42.85,0.28,11.83
大幅,20.95,0.56,11.73
成绩,24.76,0.47,11.67
很漂亮,20.95,0.56,11.66
氛围,20.95,0.56,11.66
年轻人,36.18,0.32,11.65
低油耗,11.43,1,11.43
商务,23.8,0.47,11.2
耐看,20.95,0.53,11.2
最好,44.75,0.25,11.18
充足,19.04,0.59,11.16
做工,59.99,0.19,11.13
满足,56.18,0.2,11.11
家族式,24.76,0.45,11.09
智行,17.14,0.65,11.08
镀铬,39.04,0.28,11.02
整体,84.75,0.13,11.01
魅力,20.95,0.52,10.97
审美,20.95,0.52,10.93
发动机,224.72,0.05,10.9
挺,62.85,0.17,10.89
更是,45.71,0.24,10.88
卓越,15.24,0.71,10.85
家用,52.37,0.21,10.76
搭载,88.55,0.12,10.76
乘员,16.19,0.66,10.7
这辆,28.57,0.37,10.68
过滤,17.14,0.62,10.68
工艺,36.18,0.29,10.58
指向,14.28,0.74,10.56
优异,14.28,0.74,10.56
融合,14.28,0.74,10.56
口碑,39.99,0.26,10.48
真皮,41.9,0.25,10.47
所,45.71,0.23,10.43
混动,27.61,0.38,10.36
赢得,17.14,0.6,10.32
轮廓,13.33,0.77,10.32
激情,17.14,0.6,10.32
中级车,23.8,0.43,10.29
使得,29.52,0.35,10.28
驾驭,16.19,0.64,10.28
稳定,39.04,0.26,10.25
感受,59.04,0.17,10.2
依然,36.18,0.28,10.19
简洁,30.47,0.33,10.18
外表,12.38,0.82,10.15
不失,12.38,0.82,10.15
角度,18.09,0.56,10.12
省油,42.85,0.24,10.1
追求,22.85,0.44,10.06
营造,23.8,0.42,10.05
品牌,259,0.04,10.02
觉得,132.36,0.08,9.98
空调,68.56,0.15,9.97
灵动,15.24,0.65,9.9
更具,15.24,0.65,9.9
充满,16.19,0.61,9.9
同级,57.13,0.17,9.79
确实,73.32,0.13,9.77
消费者,107.6,0.09,9.73
级车,42.85,0.23,9.72
智慧,13.33,0.73,9.7
疲劳,13.33,0.73,9.7
担当,13.33,0.73,9.7
需求,53.32,0.18,9.63
宽,21.9,0.44,9.61
可谓,19.04,0.5,9.61
清晰,18.09,0.53,9.6
人,220.91,0.04,9.59
就,458.96,0.02,9.58
平台,55.23,0.17,9.57
表扬,9.52,1,9.52
变化,24.76,0.38,9.51
综合,39.99,0.24,9.5
首选,15.24,0.62,9.49
气息,15.24,0.62,9.49
驾驶者,15.24,0.62,9.49
出现,27.61,0.34,9.48
越级,12.38,0.76,9.44
棱角分明,12.38,0.76,9.44
好评,12.38,0.76,9.44
大方,12.38,0.76,9.44
前大灯,32.37,0.29,9.33
舒服,59.04,0.16,9.28
重要,39.99,0.23,9.26
座舱,11.43,0.81,9.25
力量感,11.43,0.81,9.25
多媒体,11.43,0.81,9.25
是因为,26.66,0.35,9.22
细腻,10.47,0.88,9.19
满分,10.47,0.88,9.19
饱满,10.47,0.88,9.19
动态,17.14,0.53,9.14
月销量,14.28,0.64,9.1
调节,46.66,0.19,9.09
更多,19.04,0.48,9.06
得益于,20,0.45,9.03
功能,92.36,0.1,9.02
驾驶员,29.52,0.31,9.01
距离,28.57,0.31,8.99
特点,20,0.45,8.94
真的,89.51,0.1,8.93
开,211.39,0.04,8.93
技术,111.41,0.08,8.93
人性化,29.52,0.3,8.9
车头,35.23,0.25,8.9
刚刚,22.85,0.39,8.86
陪伴,12.38,0.72,8.85
耐用,12.38,0.72,8.85
楼主,49.51,0.18,8.85
创新,24.76,0.35,8.75
乘客,27.61,0.32,8.73
舒适性,56.18,0.16,8.72
增幅,13.33,0.65,8.71
优化,14.28,0.61,8.71
前卫,13.33,0.65,8.71
贯穿,13.33,0.65,8.71
铝合金,16.19,0.54,8.69
4S店,14.28,0.39,8.62
世界,20.95,0.41,8.6
照明,11.43,0.75,8.57
展现出,8.57,1,8.57
惬意,11.43,0.75,8.57
传递,11.43,0.75,8.57
4s店,11.43,0.14,8.56
宽大,20,0.43,8.55
加长,30.47,0.28,8.46
个性,32.37,0.26,8.44
位置,35.23,0.24,8.42
材质,32.37,0.26,8.42
实用性,21.9,0.38,8.4
赞助商,14.28,0.59,8.37
便捷,14.28,0.59,8.37
有,531.33,0.02,8.36
平直,10.47,0.8,8.36
头部,21.9,0.38,8.33
环境,21.9,0.38,8.33
改变,20.95,0.4,8.33
元素,20,0.42,8.32
高强度,13.33,0.62,8.31
周到,9.52,0.87,8.27
骄傲,9.52,0.87,8.27
泊车,30.47,0.27,8.27
后备,15.24,0.54,8.24
中,235.19,0.03,8.18
高性能,19.04,0.43,8.15
能够,60.94,0.13,8.14
值得一提的是,20,0.41,8.12
增加,54.28,0.15,8.12
现款,33.33,0.24,8.08
面积,14.28,0.56,8.07
符合,37.14,0.22,8.05
眼球,11.43,0.7,8.01
帅,11.43,0.7,8.01
视觉,21.9,0.37,8.01
出众,11.43,0.7,8.01
及,69.51,0.11,7.98
目前,49.51,0.16,7.97
方向盘,88.55,0.09,7.95
眼前一亮,12.38,0.64,7.91
严谨,12.38,0.64,7.91
稳定性,26.66,0.3,7.91
奥运,12.38,0.64,7.91
suv,55.23,0.14,7.9
就是,225.67,0.03,7.87
犀利,28.57,0.28,7.86
后备箱,59.99,0.13,7.85
尤其,46.66,0.17,7.84
神车,26.66,0.29,7.84
连续,14.28,0.55,7.79
高品质,14.28,0.55,7.79
超大,14.28,0.55,7.79
标杆,14.28,0.55,7.79
银色,15.24,0.51,7.77
累计,29.52,0.26,7.75
简单,43.8,0.18,7.73
一体式,10.47,0.74,7.71
没的说,10.47,0.74,7.71
评价,16.19,0.47,7.68
传统,29.52,0.26,7.68
最新,41.9,0.18,7.66
稳健,7.62,1,7.62
没话说,7.62,1,7.62
空气质量,7.62,1,7.62
肌肉,7.62,1,7.62
储物格,7.62,1,7.62
热销,15.24,0.5,7.57
路况,27.61,0.27,7.57
有点,49.51,0.15,7.54
省,14.28,0.53,7.54
王者,12.38,0.61,7.53
轻量化,12.38,0.61,7.53
发布,14.28,0.53,7.53
传承,12.38,0.61,7.53
总结,22.85,0.33,7.52
环保,22.85,0.33,7.52
时,145.69,0.05,7.5
血统,9.52,0.78,7.47
响应,9.52,0.78,7.47
回头率,9.52,0.78,7.47
便利,9.52,0.78,7.47
强,50.47,0.15,7.46
特别,79.03,0.09,7.43
明显,65.7,0.11,7.43
豪华,79.98,0.09,7.41
深受,8.57,0.86,7.35
韧性,8.57,0.86,7.35
气场,8.57,0.86,7.35
静谧,8.57,0.86,7.35
横拉式,8.57,0.86,7.35
勾勒,8.57,0.86,7.35
第一印象,8.57,0.86,7.35
水准,13.33,0.55,7.34
突破,27.61,0.27,7.32
红色,19.04,0.38,7.31
前排,34.28,0.21,7.3
首款,19.04,0.38,7.27
人们,18.09,0.4,7.23
效果,49.51,0.15,7.22
精神,12.38,0.58,7.19
激光,12.38,0.58,7.19
没有,204.72,0.04,7.18
无需,10.47,0.68,7.17
深刻,10.47,0.68,7.17
恒温,10.47,0.68,7.17
厢,11.43,0.62,7.12
幻速,11.43,0.62,7.12
很高,11.43,0.62,7.12
平顺,19.04,0.37,7.08
模式,19.04,0.37,7.03
享受,27.61,0.25,7.01
我们,120.93,0.06,7
向上,14.28,0.48,6.92
极具,12.38,0.56,6.9
行驶,49.51,0.14,6.87
原因,39.99,0.17,6.86
活力,13.33,0.51,6.86
变道,9.52,0.72,6.85
者,15.24,0.45,6.79
还,277.09,0.02,6.77
抢眼,11.43,0.59,6.76
均衡,11.43,0.59,6.76
整车,49.51,0.14,6.74
起步,32.37,0.21,6.73
兼顾,10.47,0.64,6.72
最为,20,0.34,6.71
？,51.42,0.13,6.71
上半年,39.04,0.17,6.7
驾驶,106.65,0.06,6.69
图,18.09,0.37,6.68
变速箱,70.46,0.09,6.68
中国女排,6.67,1,6.67
有助于,6.67,1,6.67
压抑感,6.67,1,6.67
精度,6.67,1,6.67
腿部,21.9,0.3,6.65
突出,21.9,0.3,6.65
使,36.18,0.18,6.65
！,329.46,0.02,6.65
转向,45.71,0.14,6.61
栅,14.28,0.46,6.6
形,8.57,0.77,6.59
燃油,28.57,0.23,6.59
拉风,8.57,0.77,6.59
尽显,8.57,0.77,6.59
分配,8.57,0.77,6.59
版,125.69,0.05,6.53
车内,43.8,0.15,6.52
看起来,41.9,0.15,6.46
度,14.28,0.45,6.46
足以,11.43,0.56,6.45
效率,11.43,0.56,6.45
面子,11.43,0.56,6.45
此外,44.75,0.14,6.45
有型,7.62,0.85,6.44
稳居,7.62,0.85,6.44
特征,7.62,0.85,6.44
极佳,7.62,0.85,6.44
很足,7.62,0.85,6.44
乘车,7.62,0.85,6.44
扎实,19.04,0.34,6.43
肯定,40.94,0.16,6.4
秉承,12.38,0.52,6.4
装饰,37.14,0.17,6.39
再,93.32,0.07,6.38
外,38.09,0.17,6.37
说,259.95,0.02,6.36
宽裕,9.52,0.67,6.35
紧凑,17.14,0.37,6.35
亦,10.47,0.61,6.34
以往,10.47,0.61,6.34
内部,23.8,0.26,6.27
功率,37.14,0.17,6.26
国家,37.14,0.17,6.25
相当,44.75,0.14,6.2
惊艳,12.38,0.5,6.19
按键,12.38,0.5,6.19
合作伙伴,11.43,0.54,6.18
底盘,78.08,0.08,6.18
认可,17.14,0.36,6.16
独特,17.14,0.36,6.16
进气,29.52,0.21,6.14
互联,13.33,0.46,6.14
亮相,15.24,0.4,6.13
结合,14.28,0.43,6.11
乘用车,15.24,0.4,6.08
显得,41.9,0.14,6.04
熟悉,14.28,0.42,6.02
天气,8.57,0.7,6.01
踏实,8.57,0.7,6.01
受欢迎,8.57,0.7,6.01
风阻,8.57,0.7,6.01
不俗,8.57,0.7,6.01
加速,62.85,0.1,6
相信,32.37,0.18,5.97
完全,51.42,0.12,5.95
差,20.95,0.28,5.95
极致,11.43,0.52,5.94
住,9.52,0.62,5.93
远近,9.52,0.62,5.93
全家,9.52,0.62,5.93
尽,9.52,0.62,5.93
合理,9.52,0.62,5.93
但是,126.64,0.05,5.93
刹车,20,0.3,5.91
不少,59.04,0.1,5.88
比例,17.14,0.34,5.82
操作,27.61,0.21,5.79
柱,10.47,0.55,5.73
制动,27.61,0.21,5.73
布局,26.66,0.22,5.73
抓地,5.71,1,5.71
新高,5.71,1,5.71
细致,7.62,0.75,5.71
润滑油,5.71,1,5.71
排球队,5.71,1,5.71
淋漓尽致,5.71,1,5.71
可圈可点,5.71,1,5.71
精湛,7.62,0.75,5.71
精车,5.71,1,5.71
格调,5.71,1,5.71
高保真,5.71,1,5.71
放置,7.62,0.75,5.71
二郎腿,5.71,1,5.71
大大的,5.71,1,5.71
创下,5.71,1,5.71
处处,5.71,1,5.71
出差,5.71,1,5.71
宝座,7.62,0.75,5.71
进行,60.94,0.09,5.7
继续,24.76,0.23,5.67
产品,92.36,0.06,5.64
当然,48.56,0.12,5.62
印象,20.95,0.27,5.6
无论,20,0.28,5.59
算是,32.37,0.17,5.59
历经,9.52,0.59,5.58
从而,9.52,0.59,5.58
形象,12.38,0.45,5.55
保留,12.38,0.45,5.55
增添,8.57,0.65,5.54
信赖,8.57,0.65,5.54
头灯,8.57,0.65,5.54
驾驶席,8.57,0.65,5.54
自如,6.67,0.83,5.53
一见钟情,6.67,0.83,5.53
细心,6.67,0.83,5.53
无可挑剔,6.67,0.83,5.53
平底,6.67,0.83,5.53
满意度,6.67,0.83,5.53
绿色,6.67,0.83,5.53
坚实,6.67,0.83,5.53
呼应,6.67,0.83,5.53
很爽,6.67,0.83,5.53
当之无愧,6.67,0.83,5.53
充分考虑,6.67,0.83,5.53
峰值,14.28,0.39,5.51
出行,30.47,0.18,5.51
折叠,10.47,0.52,5.48
激烈,10.47,0.52,5.48
爱,38.09,0.14,5.48
用料,27.61,0.2,5.46
横向,20.95,0.26,5.46
下,109.5,0.05,5.45
充沛,14.28,0.38,5.44
娱乐,12.38,0.44,5.43
历史,13.33,0.41,5.42
避免,15.24,0.35,5.4
自由,11.43,0.47,5.37
水平,27.61,0.19,5.37
很大,47.61,0.11,5.36
需,14.28,0.37,5.32
保证,20.95,0.25,5.3
延伸,9.52,0.55,5.28
内涵,9.52,0.55,5.28
作,10.47,0.5,5.27
帅气,13.33,0.4,5.27
实惠,10.47,0.5,5.27
内部空间,15.24,0.35,5.27
集成,10.47,0.5,5.27
一直,96.17,0.05,5.24
特色,17.14,0.31,5.24
看到,68.56,0.08,5.22
最佳,16.19,0.32,5.21
那,103.79,0.05,5.2
姿态,7.62,0.68,5.17
有着,45.71,0.11,5.17
熏黑,7.62,0.68,5.17
线性,7.62,0.68,5.17
爽,7.62,0.68,5.17
凌厉,7.62,0.68,5.17
堪称,7.62,0.68,5.17
家用车,20.95,0.25,5.17
个头,7.62,0.68,5.17
表面,7.62,0.68,5.17
智能化,8.57,0.6,5.16
放倒,12.38,0.42,5.16
起来,67.61,0.08,5.1
小结,9.52,0.53,5.03
标准,33.33,0.15,5.03
其,113.31,0.04,5
自身,17.14,0.29,4.99
高端,24.76,0.2,4.98
无法,13.33,0.37,4.97
核心,11.43,0.44,4.97
各个,11.43,0.44,4.97
经历,20,0.25,4.95
热,15.24,0.32,4.93
主动,12.38,0.4,4.92
弯道,16.19,0.3,4.92
引领,10.47,0.47,4.91
留下,10.47,0.47,4.91
出,81.89,0.06,4.91
最爱,6.67,0.73,4.85
心情,6.67,0.73,4.85
脱胎换骨,6.67,0.73,4.85
鲨鱼,6.67,0.73,4.85
平稳,6.67,0.73,4.85
亮丽,6.67,0.73,4.85
集成式,6.67,0.73,4.85
飞翼,6.67,0.73,4.85
称号,6.67,0.73,4.85
油门,28.57,0.17,4.84
实时,8.57,0.56,4.84
支撑,20,0.24,4.83
日常,28.57,0.17,4.83
即可,12.38,0.39,4.78
完成,12.38,0.39,4.77
规整,9.52,0.5,4.77
最型,4.76,1,4.76
织物,4.76,1,4.76
增长点,4.76,1,4.76
硬汉,4.76,1,4.76
一应俱全,4.76,1,4.76
一如既往,4.76,1,4.76
业界,4.76,1,4.76
无与伦比,4.76,1,4.76
位居,4.76,1,4.76
脱颖而出,4.76,1,4.76
碰撞,32.37,0.15,4.76
领跑,4.76,1,4.76
刚毅,4.76,1,4.76
月均,7.62,0.62,4.75
小觑,7.62,0.62,4.75
深深,7.62,0.62,4.75
相比,79.03,0.06,4.73
国内,79.03,0.06,4.73
所有,29.52,0.16,4.71
跨界,12.38,0.38,4.71
饰,20.95,0.22,4.69
实在,20.95,0.22,4.69
档,13.33,0.35,4.68
不用,29.52,0.16,4.65
助威,5.71,0.81,4.63
张力,5.71,0.81,4.63
炫目,5.71,0.81,4.63
小巧,12.38,0.37,4.63
外部,5.71,0.81,4.63
睡,5.71,0.81,4.63
前后轮,5.71,0.81,4.63
瀑式,5.71,0.81,4.63
内敛,5.71,0.81,4.63
米色,5.71,0.81,4.63
宽阔,5.71,0.81,4.63
极为,5.71,0.81,4.63
激增,5.71,0.81,4.63
激进,5.71,0.81,4.63
魂动,5.71,0.81,4.63
对得起,5.71,0.81,4.63
充裕,12.38,0.37,4.63
层次感,5.71,0.81,4.63
不同,38.09,0.12,4.63
被动,5.71,0.81,4.63
主角,9.52,0.48,4.62
据说,9.52,0.48,4.62
创造,9.52,0.48,4.62
尾部,30.47,0.15,4.61
增强,8.57,0.53,4.57
炫酷,8.57,0.53,4.57
年度,8.57,0.53,4.57
目标,12.38,0.37,4.57
缸内,8.57,0.53,4.57
成熟,22.85,0.2,4.57
播放,8.57,0.53,4.57
您,13.33,0.34,4.56
德,21.9,0.21,4.56
不好,10.47,0.43,4.55
适合,44.75,0.1,4.54
中央,21.9,0.21,4.53
这样,91.41,0.05,4.53
男人,10.47,0.43,4.52
家人,20,0.22,4.47
英寸,19.04,0.23,4.46
全系,37.14,0.12,4.46
总体,22.85,0.19,4.45
优秀,22.85,0.19,4.45
迅速,9.52,0.47,4.45
模块化,9.52,0.47,4.45
来,103.79,0.04,4.45
传奇,9.52,0.47,4.45
控制,39.99,0.11,4.44
天窗,56.18,0.08,4.43
人生,11.43,0.39,4.41
征服,7.62,0.58,4.4
一方面,7.62,0.58,4.4
提前,7.62,0.58,4.4
攀升,7.62,0.58,4.4
卖点,7.62,0.58,4.4
格局,7.62,0.58,4.4
大胆,7.62,0.58,4.4
毕业,7.62,0.58,4.4
时代,20,0.22,4.38
指导价,11.43,0.38,4.37
饮料,6.67,0.65,4.36
一共,6.67,0.65,4.36
炫,6.67,0.65,4.36
女子,6.67,0.65,4.36
摩登,6.67,0.65,4.36
亮眼,6.67,0.65,4.36
精髓,6.67,0.65,4.36
减轻,6.67,0.65,4.36
后,188.54,0.02,4.36
隔热,6.67,0.65,4.36
大人,6.67,0.65,4.36
布置,6.67,0.65,4.36
榜首,6.67,0.65,4.36
与此同时,8.57,0.51,4.35
电动,58.08,0.07,4.35
监测,19.04,0.23,4.34
增压,48.56,0.09,4.33
并且,42.85,0.1,4.33
重量,9.52,0.45,4.31
降低,25.71,0.17,4.31
顿挫,7.62,0.57,4.31
混合,9.52,0.45,4.28
研发,18.09,0.24,4.27
大型,11.43,0.37,4.27
城市,29.52,0.14,4.27
基础,11.43,0.37,4.26
活动,20.95,0.2,4.26
杠杠,12.38,0.34,4.2
当初,17.14,0.24,4.19
在于,9.52,0.44,4.18
坐,64.75,0.06,4.16
人群,8.57,0.48,4.15
广泛,8.57,0.48,4.15
悬架,28.57,0.15,4.14
时候,105.69,0.04,4.13
车子,47.61,0.09,4.13
判断,7.62,0.54,4.12
广,7.62,0.54,4.12
打动,7.62,0.54,4.12
异响,4.76,0.86,4.09
灵敏,13.33,0.31,4.07
了解,40.94,0.1,4.05
哈哈,26.66,0.15,4.04
车速,16.19,0.25,4.03
独有,11.43,0.35,4.02
虽然,86.65,0.05,4.01
受,24.76,0.16,4.01
没,84.75,0.05,4.01
周全,5.71,0.7,4
型面,5.71,0.7,4
世界杯,5.71,0.7,4
色彩,5.71,0.7,4
荣获,5.71,0.7,4
前列,5.71,0.7,4
媲美,5.71,0.7,4
马路上,5.71,0.7,4
流线型,5.71,0.7,4
立体感,5.71,0.7,4
佼佼者,5.71,0.7,4
毫不犹豫,5.71,0.7,4
感知,5.71,0.7,4
队,5.71,0.7,4
触摸,5.71,0.7,4
杯架,5.71,0.7,4
New,5.71,0.7,4
较,45.71,0.09,3.99
茶哥,8.57,0.47,3.99
安心,8.57,0.47,3.99
四门,9.52,0.42,3.98
配有,9.52,0.42,3.98
照顾,6.67,0.6,3.97
相应,6.67,0.6,3.97
显著,6.67,0.6,3.97
饰条,6.67,0.6,3.97
靓丽,6.67,0.6,3.97
看出,10.47,0.38,3.97
降噪,6.67,0.6,3.97
给出,6.67,0.6,3.97
错,6.67,0.6,3.97
够用,25.71,0.15,3.95
始终,21.9,0.18,3.94
内,82.84,0.05,3.94
组,9.52,0.41,3.9
条,20.95,0.19,3.9
双擎,9.52,0.41,3.9
出门,17.14,0.23,3.9
变,15.24,0.26,3.9
专属,10.47,0.37,3.89
相同,10.47,0.37,3.89
轮毂,38.09,0.1,3.89
可变,7.62,0.51,3.89
报告,7.62,0.51,3.89
运用,8.57,0.45,3.85
通风,8.57,0.45,3.85
前,142.83,0.03,3.85
又,99.03,0.04,3.84
跑,53.32,0.07,3.84
级别,56.18,0.07,3.84
长轴距,9.52,0.4,3.83
编辑,9.52,0.4,3.83
备受,12.38,0.31,3.83
阻止,3.81,1,3.81
整体感,3.81,1,3.81
涨幅,3.81,1,3.81
载人,3.81,1,3.81
与生俱来,3.81,1,3.81
抑制,3.81,1,3.81
新潮,3.81,1,3.81
小明,3.81,1,3.81
物件,3.81,1,3.81
透光,3.81,1,3.81
通风口,3.81,1,3.81
田径队,3.81,1,3.81
送风,3.81,1,3.81
甩尾,3.81,1,3.81
手推车,3.81,1,3.81
深色,3.81,1,3.81
柔道队,3.81,1,3.81
燃烧,3.81,1,3.81
拳,3.81,1,3.81
全平,3.81,1,3.81
翘楚,3.81,1,3.81
气帘,3.81,1,3.81
凉爽,3.81,1,3.81
立体声,3.81,1,3.81
精良,3.81,1,3.81
紧绷,3.81,1,3.81
解放,3.81,1,3.81
号召力,3.81,1,3.81
罕见,3.81,1,3.81
光线,3.81,1,3.81
高大威猛,3.81,1,3.81
翻天覆地,3.81,1,3.81
多型,3.81,1,3.81
点货,3.81,1,3.81
得心应手,3.81,1,3.81
冲击力,3.81,1,3.81
冲刺,3.81,1,3.81
蝉联,3.81,1,3.81
不在话下,3.81,1,3.81
必将,3.81,1,3.81
合资,57.13,0.07,3.8
则,54.28,0.07,3.79
用车,32.37,0.12,3.77
正向,4.76,0.78,3.74
整体性,4.76,0.78,3.74
照射,4.76,0.78,3.74
优越性,4.76,0.78,3.74
眼看,4.76,0.78,3.74
颜色,26.66,0.14,3.74
狭小,4.76,0.78,3.74
毋庸置疑,4.76,0.78,3.74
温区,4.76,0.78,3.74
尾,4.76,0.78,3.74
双区,4.76,0.78,3.74
书写,4.76,0.78,3.74
收纳,4.76,0.78,3.74
上手,4.76,0.78,3.74
曲线,4.76,0.78,3.74
平整,4.76,0.78,3.74
佩服,4.76,0.78,3.74
明快,4.76,0.78,3.74
领先水平,4.76,0.78,3.74
靠近,4.76,0.78,3.74
堪比,4.76,0.78,3.74
精确,4.76,0.78,3.74
兼备,4.76,0.78,3.74
几何,4.76,0.78,3.74
过硬,4.76,0.78,3.74
高亮,4.76,0.78,3.74
充分体现,4.76,0.78,3.74
表哥,4.76,0.78,3.74
比较突出,4.76,0.78,3.74
同样,57.13,0.07,3.73
上班,8.57,0.44,3.73
看上去,23.8,0.16,3.73
顶级,9.52,0.39,3.72
低速,17.14,0.22,3.72
越野,27.61,0.13,3.71
这点,20,0.18,3.7
轮胎,21.9,0.17,3.7
试验,7.62,0.48,3.69
最高,32.37,0.11,3.68
舒适度,19.04,0.19,3.68
个人,43.8,0.08,3.68
