word	pos_tf	neg_tf	idf	bdc	pos_tf_idf	neg_tf_idf	pos_tf_bdc	neg_tf_bdc
左脚	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
其一	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
水乡	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
滤清	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
求助	0.00	12.47	3.20	0.47	0.00	39.94	0.00	5.89
瀑式	5.71	0.00	3.47	0.81	19.84	0.00	4.63	0.00
品牌价值	3.81	0.00	3.41	0.48	13.00	0.00	1.85	0.00
审能	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
窗前	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
烧	0.95	70.66	2.96	0.78	2.81	208.82	0.74	54.91
lgchem	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
购	0.00	0.00	3.06	1.00	0.00	0.00	0.00	0.00
上手	4.76	0.00	3.54	0.78	16.85	0.00	3.74	0.00
江阴	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
家坛	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
功	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
堪比	4.76	0.00	3.54	0.78	16.85	0.00	3.74	0.00
变	15.24	4.16	2.92	0.26	44.47	12.13	3.90	1.06
汪峰	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
吧	103.79	120.54	1.87	0.03	193.60	224.84	3.18	3.70
F	0.00	0.00	3.72	1.00	0.00	0.00	0.00	0.00
商用	1.90	8.31	3.54	0.29	6.74	29.42	0.55	2.40
不漏水	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
照明灯	0.95	0.00	3.72	0.37	3.54	0.00	0.35	0.00
az2	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
开起	1.90	0.00	3.72	0.48	7.07	0.00	0.92	0.00
老东西	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
祖母绿	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
帖子	1.90	12.47	3.20	0.17	6.10	39.94	0.33	2.14
认同	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
区间	11.43	8.31	2.65	0.03	30.33	22.07	0.37	0.27
翻天覆地	3.81	0.00	3.72	1.00	14.15	0.00	3.81	0.00
瑶台	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
大屏幕	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
动力车	1.90	0.00	3.47	0.37	6.61	0.00	0.71	0.00
坐驾	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
夫妇	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
并列	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
花粉	3.81	0.00	3.47	0.54	13.22	0.00	2.06	0.00
伺服电机	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
考验	2.86	0.00	3.32	0.38	9.48	0.00	1.07	0.00
钻	0.95	0.00	3.54	0.40	3.37	0.00	0.38	0.00
借势	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
改写	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
全国	5.71	0.00	2.83	0.38	16.14	0.00	2.19	0.00
没人管	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
上会	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
齐头并进	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
勾当	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
suzuki	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
小家碧玉	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
信号灯	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
深谙此道	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
连接器	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
标和	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
堵车	5.71	4.16	3.24	0.07	18.50	13.46	0.41	0.30
主张	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
服字	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
毫不犹豫	5.71	0.00	3.41	0.70	19.50	0.00	4.00	0.00
高逼格	0.95	4.16	3.72	0.14	3.54	15.44	0.14	0.59
柴	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
真是假	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
莘县	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
安东尼	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
广告语	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
任性	3.81	4.16	3.41	0.11	13.00	14.19	0.42	0.46
宜家	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
南洋	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
瞧瞧	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
vario	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
名单	1.90	0.00	3.72	0.48	7.07	0.00	0.92	0.00
挺爽	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
LIVE	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
维苏威	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
问	13.33	33.25	2.45	0.02	32.71	81.59	0.32	0.81
双脚	2.86	0.00	3.84	1.00	10.97	0.00	2.86	0.00
算法	2.86	0.00	3.84	0.48	10.97	0.00	1.38	0.00
刮倒	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
紧接着	1.90	0.00	3.47	0.37	6.61	0.00	0.71	0.00
情商	2.86	0.00	3.72	0.70	10.61	0.00	2.00	0.00
程	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
不受	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
一时	0.95	0.00	3.72	0.37	3.54	0.00	0.35	0.00
限速	0.00	4.16	3.84	0.57	0.00	15.96	0.00	2.38
章安	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
车载式	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
既然如此	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
巴宝莉	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
PLUS	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
双拼	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
lcvvt	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
诚信	0.00	8.31	3.41	0.44	0.00	28.38	0.00	3.67
有产	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
符合中国	2.86	0.00	3.84	1.00	10.97	0.00	2.86	0.00
丁陶	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
斗法	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
爵士	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
MDKG	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
肉牛	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
福华	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
塞塞	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
兼	0.95	0.00	3.47	0.42	3.31	0.00	0.40	0.00
当做	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
高端化	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
水杯	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
独具	2.86	0.00	3.84	1.00	10.97	0.00	2.86	0.00
我少	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
购上	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
证明书	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
点儿	1.90	0.00	3.72	0.48	7.07	0.00	0.92	0.00
宇宙	1.90	0.00	4.02	0.62	7.65	0.00	1.19	0.00
续	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
广州市	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
两边	0.95	8.31	3.28	0.20	3.12	27.23	0.19	1.67
攻击性	2.86	0.00	3.62	0.56	10.34	0.00	1.61	0.00
痕迹	0.95	4.16	3.72	0.20	3.54	15.44	0.19	0.81
之我见	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
mk	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
自救	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
单身	1.90	0.00	4.02	0.62	7.65	0.00	1.19	0.00
油坛	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
男孩子	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
预防	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
山野	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
巴州	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
生活馆	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
fastback	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
小点	0.00	8.31	4.02	1.00	0.00	33.39	0.00	8.31
离开	0.00	0.00	3.47	1.00	0.00	0.00	0.00	0.00
宜宾	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
华	11.43	16.63	2.60	0.00	29.72	43.24	0.00	0.00
骑行	2.86	0.00	3.84	0.70	10.97	0.00	2.00	0.00
配合	36.18	0.00	2.60	0.68	94.12	0.00	24.69	0.00
之中	2.86	0.00	3.36	0.39	9.61	0.00	1.10	0.00
声光报警	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
坐不住	0.00	0.00	3.72	1.00	0.00	0.00	0.00	0.00
胎噪	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
金卡	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
自在	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
cc	0.95	0.00	3.28	0.53	3.12	0.00	0.51	0.00
了长	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
远红外线	1.90	0.00	4.02	1.00	7.65	0.00	1.90	0.00
很猛	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
高原	0.95	0.00	3.84	0.37	3.66	0.00	0.35	0.00
延后	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
马云家	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
野蛮	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
旗舰	16.19	4.16	2.47	0.16	39.92	10.25	2.66	0.68
年末	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
音乐感	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
overlander	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
３	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
上个世纪	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
见到	5.71	0.00	2.97	0.37	16.99	0.00	2.11	0.00
头皮发麻	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
标盖	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
烦请	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
楼道	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
传达	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
矿泉水	2.86	4.16	3.72	0.14	10.61	15.44	0.39	0.57
机滤	0.95	0.00	3.47	0.42	3.31	0.00	0.40	0.00
硬朗	24.76	4.16	2.81	0.51	69.62	11.69	12.70	2.13
严重威胁	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
评比	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
掠夺	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
专用车辆	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
慌乱	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
首要	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
美国	11.43	78.97	2.33	0.16	26.68	184.39	1.85	12.78
尊版	1.90	0.00	3.41	0.37	6.50	0.00	0.70	0.00
钮	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
梁家辉	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
最美	1.90	0.00	3.36	0.37	6.40	0.00	0.71	0.00
k1238	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
档	13.33	83.13	2.69	0.35	35.91	223.94	4.68	29.20
一期	1.90	0.00	3.62	0.39	6.89	0.00	0.73	0.00
雨刷	2.86	0.00	3.72	0.70	10.61	0.00	2.00	0.00
依然	36.18	8.31	2.50	0.28	90.37	20.76	10.19	2.34
新鲜度	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
特点	20.00	0.00	2.67	0.45	53.46	0.00	8.94	0.00
无微不至	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
胖帅	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
金杯	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
神器	1.90	0.00	3.54	0.39	6.74	0.00	0.73	0.00
生态系统	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
龙城	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
机器人	2.86	0.00	3.72	0.48	10.61	0.00	1.38	0.00
告知	1.90	0.00	3.47	0.37	6.61	0.00	0.70	0.00
教育	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
明	1.90	0.00	3.47	0.37	6.61	0.00	0.71	0.00
一晃	0.00	8.31	3.84	0.71	0.00	31.92	0.00	5.88
传授给	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
较佳	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
代言	0.95	4.16	3.47	0.09	3.31	14.43	0.09	0.39
大盘	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
hololens	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
魅力	20.95	0.00	2.72	0.52	56.88	0.00	10.97	0.00
报名	0.00	0.00	3.32	1.00	0.00	0.00	0.00	0.00
如题	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
争霸	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
市场	187.58	83.13	1.63	0.09	306.01	135.61	17.63	7.81
运用自如	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
操作者	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
浅谈	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
海口	0.00	0.00	3.72	1.00	0.00	0.00	0.00	0.00
惟妙惟肖	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
赔不起	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
逊毙	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
热情	3.81	4.16	3.28	0.03	12.48	13.62	0.12	0.13
汇京	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
手头	1.90	4.16	3.54	0.08	6.74	14.71	0.16	0.35
澳美	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
高分	1.90	0.00	4.02	1.00	7.65	0.00	1.90	0.00
梁式后	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
（	113.31	178.73	1.54	0.01	174.54	275.31	1.29	2.03
降档	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
最高	32.37	12.47	2.37	0.11	76.65	29.52	3.68	1.42
哭笑不得	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
街	1.90	8.31	3.36	0.17	6.40	27.95	0.32	1.38
全屏	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
发挥	6.67	0.00	3.24	0.51	21.58	0.00	3.43	0.00
Individual	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
宏运	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
能开	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
看齐	0.00	0.00	3.54	1.00	0.00	0.00	0.00	0.00
吹嘘	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
MIB	8.57	0.00	3.24	0.70	27.75	0.00	6.01	0.00
有事	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
岳西县	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
休整	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
坐满	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
紧凑	17.14	0.00	2.55	0.37	43.77	0.00	6.35	0.00
活塞环	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
硼钢	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
暂	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
紧贴	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
滑雪板	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
蔚领	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
抢先	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
西服	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
频出	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
制胜	1.90	0.00	4.02	1.00	7.65	0.00	1.90	0.00
atl	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
假货	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
市值	0.95	4.16	3.84	0.29	3.66	15.96	0.28	1.20
嘴	3.81	4.16	3.36	0.08	12.81	13.98	0.29	0.31
太颠	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
教师节	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
优势	74.27	20.78	2.21	0.28	164.13	45.93	20.67	5.78
出处	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
浮动	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
eton	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
怎么办	0.00	33.25	3.09	0.67	0.00	102.64	0.00	22.16
回电	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
公安网	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
凸轮	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
哇塞	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
电气	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
优惠政策	1.90	0.00	3.36	0.37	6.40	0.00	0.71	0.00
辐	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
光源	5.71	0.00	3.24	0.48	18.50	0.00	2.77	0.00
情感	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
看重	7.62	4.16	3.24	0.21	24.67	13.46	1.56	0.85
心潮澎湃	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
愈远	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
motortrend	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
新科	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
态度	7.62	12.47	2.97	0.06	22.66	37.09	0.44	0.72
松动	0.00	8.31	3.84	0.82	0.00	31.92	0.00	6.78
设计标准	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
冲撞	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
中大奖	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
其实	40.94	70.66	2.08	0.01	85.13	146.90	0.29	0.50
群里	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
防水	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
国企	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
劈	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
选去	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
这种	28.57	45.72	2.21	0.00	63.13	101.04	0.04	0.07
自动	102.84	149.63	1.76	0.01	180.83	263.11	0.62	0.90
灰绿色	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
来修	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
一决雌雄	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
造价	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
二者	0.95	8.31	3.72	0.48	3.54	30.88	0.46	4.03
独树一帜	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
断电	0.00	12.47	3.72	0.86	0.00	46.32	0.00	10.75
无可厚非	1.90	0.00	3.72	0.48	7.07	0.00	0.92	0.00
昂克	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
无聊	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
亏电	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
算不上	2.86	4.16	3.62	0.21	10.34	15.04	0.61	0.89
变线	1.90	0.00	4.02	1.00	7.65	0.00	1.90	0.00
分割	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
力值	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
时不时	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
戴斯	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
密切合作	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
植入	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
四边形	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
划算	3.81	0.00	3.47	0.54	13.22	0.00	2.06	0.00
福州	0.00	0.00	3.54	1.00	0.00	0.00	0.00	0.00
收到	1.90	4.16	3.24	0.02	6.17	13.46	0.04	0.09
骏派	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
专智	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
先行者	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
巨无霸	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
中期	2.86	0.00	3.20	0.37	9.15	0.00	1.06	0.00
升配	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
入户	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
尤物	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
陕西省	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
秒	1.90	4.16	3.47	0.03	6.61	14.43	0.06	0.13
抢占	1.90	0.00	3.41	0.37	6.50	0.00	0.70	0.00
地点	0.95	0.00	3.14	0.58	2.99	0.00	0.55	0.00
巧思	2.86	0.00	3.84	1.00	10.97	0.00	2.86	0.00
提高	24.76	16.63	2.64	0.13	65.26	43.82	3.16	2.12
采购	1.90	0.00	3.54	0.37	6.74	0.00	0.71	0.00
不妨	0.95	4.16	3.41	0.08	3.25	14.19	0.08	0.35
卖到	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
预警系统	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
关心	2.86	4.16	3.24	0.00	9.25	13.46	0.00	0.01
青年	1.90	0.00	3.41	0.37	6.50	0.00	0.70	0.00
祥龙	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
来块	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
减小	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
也已	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
织物	4.76	0.00	3.84	1.00	18.28	0.00	4.76	0.00
增	7.62	0.00	3.04	0.42	23.14	0.00	3.18	0.00
由内而外	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
意识	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
抹布	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
按时	0.00	8.31	3.72	0.71	0.00	30.88	0.00	5.88
大款	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
